company_name,domain,role_bucket,full_name,first_name,last_name,title,headline,location,linkedin_url,company_linkedin_url
Scout Space Inc.,scout.space,decision_maker,Philip Hover-Smoot,Philip,Hover-Smoot,Chief Executive Officer,CEO at Scout Space,"{'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/philiphoversmoot,https://www.linkedin.com/company/scoutdotspace
Scout Space Inc.,scout.space,tech_product,Courtney S.,Courtney,S.,VP of Product and Technology,VP of Product and Technology @ Scout Space,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/courtneysayles,https://www.linkedin.com/company/scoutdotspace
Scout Space Inc.,scout.space,tech_product,Andrew Harris,Andrew,Harris,Head of Engineering,,"{'city': 'Washington', 'state_code': 'DC', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/andrew-harris-58310578,https://www.linkedin.com/company/scoutdotspace
Space Kinetic Corp.,spacekinetic.com,decision_maker,Scott Ziegler,Scott,Ziegler,Co-founder,Co-Founder,"{'city': 'Berkeley', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/scott-ziegler,https://www.linkedin.com/company/space-kinetic
Space Kinetic Corp.,spacekinetic.com,decision_maker,Ryan Sullivan,Ryan,Sullivan,Co-founder,Building Space Kinetic,"{'city': 'Boulder', 'state_code': 'CO', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/ryansteelesullivan,https://www.linkedin.com/company/space-kinetic
Aurelius Systems,aureliussystems.com,decision_maker,John Marmaduke,John,Marmaduke,CTO Co-founder,Building autonomous laser systems @ Aurelius Systems,"{'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/john-marmaduke,https://www.linkedin.com/company/aurelius-systems
"Aurelius Systems, Inc.",aureliussystems.com,decision_maker,John Marmaduke,John,Marmaduke,CTO Co-founder,Building autonomous laser systems @ Aurelius Systems,"{'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/john-marmaduke,https://www.linkedin.com/company/aurelius-systems
Swoop Technologies,swooptech.com,decision_maker,Quinn Bottum,Quinn,Bottum,Chief Technology Officer & Co-founder,,"{'city': 'Madison', 'state_code': 'WI', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/quinn-bottum-62b22b30,https://www.linkedin.com/company/swooptechnologies
"Sphinx Defense, Inc.",sphinxdefense.com,decision_maker,Sebastien Diebler,Sebastien,Diebler,Co-founder VP of Engineering,,"{'city': 'Washington', 'state_code': 'DC', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/sdiebler,https://www.linkedin.com/company/sphinx-defense
"Array Labs, Inc.",arraylabs.io,decision_maker,Andrew Peterson,Andrew,Peterson,Co-founder and CEO,,"{'city': 'Palo Alto', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/andrew-peterson-array-labs,https://www.linkedin.com/company/array-labs
