company_name,domain,role_bucket,full_name,first_name,last_name,title,headline,location,linkedin_url,company_linkedin_url
"Remarcable, Inc.",remarcable.com,decision_maker,Clint Zhang,Clint,Zhang,Founder CEO,,"{'city': 'Omaha', 'state_code': 'NE', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/clint-zhang-60619,https://www.linkedin.com/company/remarcable
"Remarcable, Inc.",remarcable.com,decision_maker,Jennifer Lee,Jennifer,Lee,Vice President Human Resources,"Vice President, Human Resources @ Remarcable | Masters Degree","{'city': 'Pleasant Prairie', 'state_code': 'WI', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/jennifer-lee-aa56309,https://www.linkedin.com/company/remarcable
Roofr,roofr.com,decision_maker,Kevin Redman,Kevin,Redman,Co-founder CTO,,"{'city': 'Nashville', 'state_code': 'TN', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/iredmedia,https://www.linkedin.com/company/roofr
Roofr,roofr.com,decision_maker,Richy Nelson,Richy,Nelson,Chief Executive Officer,On a mission to build the most trusted roofing platform in the world,"{'city': 'Santa Barbara', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/richy-nelson-105b7593,https://www.linkedin.com/company/roofr
Roofr,roofr.com,tech_product,Rajiv Jhurani,Rajiv,Jhurani,Chief Product Officer (Cpo),Chief Product Officer at Roofr,"{'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/rajiv-jhurani-04715443,https://www.linkedin.com/company/roofr
Roofr,roofr.com,tech_product,John Cartwright,John,Cartwright,Sr Director of Engineering,,"{'city': 'Scarborough', 'state_code': 'ON', 'country_code': 'CA', 'continent': 'North America'}",https://www.linkedin.com/in/jcart,https://www.linkedin.com/company/roofr
Roofr,roofr.com,tech_product,Kevin Prince,Kevin,Prince,Devops Tech Lead,"Director of Platform Engineering | Architectural Decisions, Technical Leadership","{'city': 'Calgary', 'state_code': 'AB', 'country_code': 'CA', 'continent': 'North America'}",https://www.linkedin.com/in/kevinstephenprince,https://www.linkedin.com/company/roofr
Hauler Hero,haulerhero.com,decision_maker,Mark Hoadley,Mark,Hoadley,CEO,,"{'city': 'New York', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/hoadley,https://www.linkedin.com/company/haulerhero
Hauler Hero,haulerhero.com,decision_maker,Ben Sikma,Ben,Sikma,President,,"{'city': 'San Diego', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/ben-sikma-9912662,https://www.linkedin.com/company/haulerhero
Hauler Hero,haulerhero.com,tech_product,Giriraj Bhojak,Giriraj,Bhojak,Head of Engineering,Head Of Engineering,"{'city': 'Norcross', 'state_code': 'GA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/girirajbhojak,https://www.linkedin.com/company/haulerhero
