company_name,domain,role_bucket,full_name,first_name,last_name,title,headline,location,linkedin_url,company_linkedin_url
Achievers Early College Prep Charter School (AECP),achieversecp.org,decision_maker,Osen O.,Osen,O.,Co-founder and Executive Director of Achievers Early College Prep Charter School,,"{'city': 'Philadelphia', 'state_code': 'PA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/osenosagie,https://www.linkedin.com/company/achievers-early-college-prep-charter-school
Hebrew Public: Charter Schools for Global Citizens,hebrewpublic.org,decision_maker,Jonathan Rosenberg,Jonathan,Rosenberg,President & Chief Executive Officer,CEO at Hebrew Public,"{'city': 'New York', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/jonrosenberg,https://www.linkedin.com/company/hebrewpublic
Hebrew Public: Charter Schools for Global Citizens,hebrewpublic.org,decision_maker,Yaroslav Rovinsky,Yaroslav,Rovinsky,Ukrainian Refugee Support Program - Project Manager,Co-Founder & CEO (Distribution) | Project Manager (Real Estate),"{'city': 'New York', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/yrovinsky,https://www.linkedin.com/company/hebrewpublic
Hebrew Public: Charter Schools for Global Citizens,hebrewpublic.org,tech_product,Emily Fernandez,Emily,Fernandez,Chief Schools Officer,Chief Schools Officer at Hebrew Public,"{'city': 'Brooklyn', 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/emily-fernandez-03853276,https://www.linkedin.com/company/hebrewpublic
Hebrew Public: Charter Schools for Global Citizens,hebrewpublic.org,tech_product,Elly Rosenthal,Elly,Rosenthal,COO CFO,,"{'city': None, 'state_code': 'NJ', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/elly-rosenthal-cpa-130a7b8,https://www.linkedin.com/company/hebrewpublic
St. Philip's School and Community Center,stphilips1600.org,decision_maker,Chris Ayres,Chris,Ayres,Member Board of Trustees,"President and Shareholder at Ayres Law Office, P.C","{'city': 'Dallas', 'state_code': 'TX', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/attorneychrisayres,https://www.linkedin.com/company/st-philips-school-and-community-center
St. Philip's School and Community Center,stphilips1600.org,decision_maker,Luther A. Harris,Luther,Harris,Chief Operations Officer Integrator,COO/Integrator/ Global Procurement Director | Supplier Relationship Management & Contract Negotiations | Driving Growth through Strategic Sourcing | High Performance Team Development,"{'city': 'Dallas', 'state_code': 'TX', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/luther-a-harris,https://www.linkedin.com/company/st-philips-school-and-community-center
Colorado Springs Christian Schools,cscslions.org,decision_maker,Roland Derenzo,Roland,Derenzo,Superintendent CEO,CEO at CSCS,"{'city': 'Colorado Springs', 'state_code': 'CO', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/roland-derenzo-88593b9,https://www.linkedin.com/school/colorado-springs-christian-schools
Milwaukee Academy of Science,milwaukeeacademyofscience.org,decision_maker,Anthony McHenry,Anthony,McHenry,Chief Executive Officer,Chief Executive Officer at Milwaukee Academy of Science,"{'city': 'Milwaukee', 'state_code': 'WI', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/anthony-mchenry,https://www.linkedin.com/school/milwaukee-academy-of-science
Milwaukee Academy of Science,milwaukeeacademyofscience.org,tech_product,Tresca Meiling,Tresca,Meiling,Chief Strategy Officer,Chief Strategy Officer at Milwaukee Academy of Science,"{'city': 'Milwaukee', 'state_code': 'WI', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/tresca-meiling-7ba65939,https://www.linkedin.com/school/milwaukee-academy-of-science
